urn,local_authority,inspection_link,overall_effectiveness_grade,inspection_framework,inspector_name,inspection_start_date,inspection_end_date,publication_date,local_link_to_all_inspections,impact_of_leaders_grade,help_and_protection_grade,care_and_care_leavers_grade,sentiment_score,sentiment_summary,main_inspection_topics
80426,barnsley,https://files.ofsted.gov.uk/v1/file/50038886,Good,standard,Jan Edwards,08/10/2018,19/10/2018,19/11/18,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80426_barnsley,Good,Good,Good,0.1762748496568293,Sentiment positive,"['0.031*""children"" + 0.013*""’"" + 0.011*""care"" + 0.009*""well"" + 0.007*""child"" + 0.006*""Children"" + 0.006*""needs"" + 0.006*""social"" + 0.006*""service"" + 0.006*""work""', '0.031*""children"" + 0.009*""’"" + 0.009*""care"" + 0.008*""child"" + 0.007*""well"" + 0.006*""support"" + 0.005*""people"" + 0.005*""workers"" + 0.005*""good"" + 0.005*""young""', '0.016*""children"" + 0.006*""’"" + 0.006*""care"" + 0.006*""social"" + 0.006*""child"" + 0.005*""support"" + 0.005*""people"" + 0.005*""well"" + 0.004*""benefit"" + 0.004*""clear""']"
80427,bath and north east somerset,https://files.ofsted.gov.uk/v1/file/50181505,Good,short,Steve Lowe,28/02/2022,04/03/2022,19/04/22,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80427_bath and north east somerset,Good,Good,Good,0.18318321148368655,Sentiment positive,"['0.024*""children"" + 0.013*""’"" + 0.010*""care"" + 0.007*""well"" + 0.007*""services"" + 0.007*""families"" + 0.006*""local"" + 0.006*""social"" + 0.005*""Children"" + 0.005*""support""', '0.033*""children"" + 0.015*""’"" + 0.010*""care"" + 0.008*""support"" + 0.008*""services"" + 0.007*""families"" + 0.007*""local"" + 0.006*""social"" + 0.006*""authority"" + 0.006*""leavers""', '0.033*""children"" + 0.017*""’"" + 0.009*""well"" + 0.009*""care"" + 0.009*""services"" + 0.007*""support"" + 0.007*""families"" + 0.006*""workers"" + 0.006*""needs"" + 0.005*""authority""']"
80428,bedford,https://files.ofsted.gov.uk/v1/file/50175284,Good,standard,Margaret Burke,15/11/2021,26/11/2021,14/01/22,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80428_bedford,Good,Good,Good,0.2171837244626719,Sentiment positive,"['0.025*""children"" + 0.014*""’"" + 0.009*""families"" + 0.008*""support"" + 0.007*""work"" + 0.006*""services"" + 0.006*""care"" + 0.006*""well"" + 0.006*""Children"" + 0.006*""help""', '0.033*""children"" + 0.016*""’"" + 0.008*""support"" + 0.008*""families"" + 0.007*""Children"" + 0.007*""work"" + 0.006*""services"" + 0.006*""care"" + 0.005*""needs"" + 0.005*""authority""', '0.032*""children"" + 0.018*""’"" + 0.011*""support"" + 0.009*""services"" + 0.008*""care"" + 0.008*""work"" + 0.007*""families"" + 0.006*""needs"" + 0.006*""Children"" + 0.006*""ensure""']"
80429,birmingham,https://files.ofsted.gov.uk/v1/file/50214110,Good,standard,John Roughton,20/02/2023,03/03/2023,18/04/23,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80429_birmingham,Good,Good,Good,0.2050763061822969,Sentiment positive,"['0.036*""children"" + 0.014*""’"" + 0.011*""needs"" + 0.011*""people"" + 0.010*""services"" + 0.010*""care"" + 0.010*""young"" + 0.007*""Children"" + 0.006*""well"" + 0.006*""effective""', '0.025*""children"" + 0.011*""’"" + 0.008*""care"" + 0.007*""young"" + 0.007*""Children"" + 0.006*""needs"" + 0.005*""trust"" + 0.005*""effective"" + 0.005*""services"" + 0.005*""appropriate""', '0.023*""children"" + 0.015*""’"" + 0.009*""care"" + 0.009*""Children"" + 0.008*""people"" + 0.006*""services"" + 0.006*""needs"" + 0.006*""young"" + 0.005*""Birmingham"" + 0.005*""effective""']"
80430,blackburn with darwen,https://files.ofsted.gov.uk/v1/file/50179542,Requires improvement,standard,Kathryn Grindrod,24/01/2022,04/02/2022,18/03/22,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80430_blackburn with darwen,Requires improvement,Requires improvement,Requires improvement,0.16222788411284997,Sentiment positive,"['0.043*""children"" + 0.015*""care"" + 0.012*""’"" + 0.010*""support"" + 0.009*""authority"" + 0.009*""local"" + 0.008*""leavers"" + 0.007*""needs"" + 0.006*""help"" + 0.006*""services""', '0.024*""children"" + 0.011*""care"" + 0.010*""’"" + 0.007*""local"" + 0.007*""authority"" + 0.006*""leavers"" + 0.006*""quality"" + 0.005*""social"" + 0.005*""Children"" + 0.005*""impact""', '0.033*""children"" + 0.024*""care"" + 0.012*""’"" + 0.009*""support"" + 0.009*""local"" + 0.008*""leavers"" + 0.008*""authority"" + 0.008*""Children"" + 0.007*""practice"" + 0.006*""quality""']"
80431,blackpool,https://files.ofsted.gov.uk/v1/file/50206631,Requires improvement,standard,Lisa Summers,05/12/2022,16/12/2022,01/02/23,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80431_blackpool,Requires improvement,Requires improvement,Good,0.17558251563251553,Sentiment positive,"['0.022*""children"" + 0.010*""’"" + 0.007*""needs"" + 0.007*""well"" + 0.006*""care"" + 0.005*""services"" + 0.005*""Children"" + 0.005*""Blackpool"" + 0.005*""support"" + 0.004*""workers""', '0.044*""children"" + 0.012*""’"" + 0.010*""needs"" + 0.007*""care"" + 0.007*""services"" + 0.007*""effective"" + 0.007*""support"" + 0.006*""social"" + 0.006*""Children"" + 0.005*""Blackpool""', '0.044*""children"" + 0.018*""’"" + 0.010*""well"" + 0.009*""care"" + 0.008*""needs"" + 0.008*""services"" + 0.008*""Blackpool"" + 0.007*""social"" + 0.007*""Children"" + 0.006*""support""']"
350,bolton,https://files.ofsted.gov.uk/v1/file/50004465,Good,standard,John Roughton,23/04/2018,04/05/2018,12/06/18,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./350_bolton,Good,Good,Good,0.23791586706535164,Sentiment positive,"['0.034*""children"" + 0.012*""care"" + 0.011*""’"" + 0.009*""work"" + 0.007*""well"" + 0.007*""social"" + 0.007*""needs"" + 0.007*""support"" + 0.006*""services"" + 0.006*""good""', '0.038*""children"" + 0.011*""good"" + 0.011*""care"" + 0.010*""’"" + 0.009*""work"" + 0.007*""needs"" + 0.007*""social"" + 0.006*""services"" + 0.005*""support"" + 0.005*""appropriate""', '0.023*""children"" + 0.011*""care"" + 0.009*""’"" + 0.009*""work"" + 0.006*""social"" + 0.006*""well"" + 0.006*""good"" + 0.006*""support"" + 0.005*""effective"" + 0.005*""needs""']"
2532287,"bournemouth, christchurch & poole",https://files.ofsted.gov.uk/v1/file/50177455,Inadequate,standard,Steve Lowe,06/12/2021,17/12/2021,11/02/22,"/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./2532287_bournemouth, christchurch & poole",Inadequate,nan,nan,0.15295222417769153,Sentiment positive,"['0.026*""children"" + 0.012*""’"" + 0.007*""care"" + 0.006*""services"" + 0.006*""social"" + 0.006*""work"" + 0.006*""local"" + 0.005*""families"" + 0.005*""authority"" + 0.005*""quality""', '0.036*""children"" + 0.018*""’"" + 0.010*""care"" + 0.008*""social"" + 0.008*""services"" + 0.008*""local"" + 0.008*""families"" + 0.007*""support"" + 0.007*""authority"" + 0.006*""work""', '0.029*""children"" + 0.014*""’"" + 0.008*""social"" + 0.006*""support"" + 0.006*""services"" + 0.006*""families"" + 0.006*""care"" + 0.006*""quality"" + 0.005*""workers"" + 0.005*""authority""']"
80436,bracknell forest,https://files.ofsted.gov.uk/v1/file/50189673,Outstanding,short,Amanda Maxwell,13/06/2022,17/06/2022,29/07/22,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./80436_bracknell forest,Outstanding,Outstanding,Good,0.20682410709612795,Sentiment positive,"['0.037*""children"" + 0.014*""support"" + 0.014*""’"" + 0.014*""care"" + 0.009*""Children"" + 0.008*""work"" + 0.008*""people"" + 0.008*""young"" + 0.007*""social"" + 0.007*""services""', '0.022*""children"" + 0.016*""’"" + 0.015*""support"" + 0.009*""care"" + 0.008*""people"" + 0.007*""Children"" + 0.006*""services"" + 0.006*""young"" + 0.006*""Bracknell"" + 0.006*""social""', '0.020*""children"" + 0.017*""support"" + 0.012*""’"" + 0.011*""care"" + 0.008*""Children"" + 0.008*""people"" + 0.007*""young"" + 0.007*""services"" + 0.006*""needs"" + 0.006*""work""']"
846,brighton and hove,https://files.ofsted.gov.uk/v1/file/50014166,Good,standard,Tara Geere,09/07/2018,20/07/2018,21/08/18,/workspaces/D2I-Jupyter-Notebook-Tools/Ofsted_pipeline/file:///./846_brighton and hove,Good,Requires improvement,Good,0.16054366697506545,Sentiment positive,"['0.028*""children"" + 0.012*""workers"" + 0.011*""’"" + 0.009*""care"" + 0.008*""work"" + 0.008*""social"" + 0.007*""support"" + 0.007*""good"" + 0.006*""people"" + 0.006*""needs""', '0.025*""children"" + 0.012*""’"" + 0.012*""care"" + 0.009*""workers"" + 0.009*""work"" + 0.007*""social"" + 0.007*""needs"" + 0.007*""support"" + 0.006*""services"" + 0.005*""good""', '0.036*""children"" + 0.011*""work"" + 0.011*""’"" + 0.011*""care"" + 0.010*""social"" + 0.009*""needs"" + 0.009*""workers"" + 0.008*""good"" + 0.007*""support"" + 0.006*""inspection""']"
